Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,approved,Gender
783,90,932,120,54,722,745,366,459,95,832,493,549,252,466,629,337,641,257,714,843,179,80,832,468,285,772,654,196,2232,0,Group B
644,913,549,313,735,276,380,776,595,328,261,969,485,37,743,724,110,5,71,26,485,173,485,7,6,237,148,480,551,2128,0,Group B
623,179,73,348,687,933,644,495,37,507,694,418,684,814,585,864,570,365,191,420,145,136,183,612,604,545,324,605,869,2007,0,Group B
237,834,571,697,822,718,548,961,656,892,19,503,355,601,692,333,408,665,107,535,536,20,60,783,238,562,220,203,276,1363,0,Group B
573,314,18,239,610,682,120,888,75,82,433,928,33,87,272,291,1,925,240,489,502,628,176,123,966,435,697,348,602,2847,0,Group A
779,938,870,576,952,206,920,165,820,656,435,386,610,418,710,713,367,482,451,28,430,663,351,947,241,294,400,824,324,6232,0,Group B
924,277,487,266,539,873,659,440,699,244,514,696,461,433,492,417,912,658,441,285,893,14,336,243,105,471,732,888,140,3558,1,Group A
284,31,153,277,600,499,491,963,536,625,751,859,894,671,394,60,819,673,828,607,849,533,3,498,615,305,442,269,700,4200,1,Group A
378,98,51,854,896,762,844,842,438,501,319,210,551,340,267,941,191,319,84,233,191,54,436,915,775,175,397,28,477,3249,0,Group B
307,505,668,818,455,405,566,585,407,72,279,879,671,267,299,99,508,640,418,697,322,367,493,825,439,323,219,184,631,3433,0,Group B
242,935,545,374,431,321,312,763,956,160,953,17,333,919,337,250,917,899,459,188,679,890,811,476,473,649,53,173,169,5948,1,Group A
544,159,557,867,741,29,409,404,534,753,60,137,598,382,485,366,501,469,225,522,66,378,863,774,930,863,617,114,848,9849,0,Group B
944,711,972,905,72,161,160,778,506,98,503,7,91,913,146,896,320,323,832,693,108,813,142,778,475,734,339,436,604,1330,0,Group B
879,738,236,174,772,123,70,870,904,115,182,913,222,432,750,923,260,465,312,525,685,774,130,599,162,519,14,803,822,4896,0,Group B
170,28,551,922,546,374,650,627,750,340,567,222,527,444,24,646,479,296,677,464,913,950,447,339,589,750,607,231,469,9662,0,Group B
470,142,529,208,649,606,397,314,27,842,221,683,714,345,780,401,454,107,318,933,215,311,162,717,25,145,145,527,193,7220,0,Group A
25,10,312,292,858,437,186,397,739,863,414,738,176,324,231,410,608,638,873,365,422,767,812,673,370,476,757,595,300,9927,0,Group A
24,454,84,11,745,203,544,760,349,128,819,167,519,733,45,915,225,163,69,320,577,187,792,433,673,450,460,240,426,8164,0,Group B
240,435,875,296,297,61,351,674,55,229,378,789,832,641,397,173,825,310,871,708,349,554,969,488,722,362,683,962,542,8445,1,Group A
581,767,760,25,260,323,770,809,48,785,388,74,32,272,165,54,431,54,55,86,146,157,429,19,619,2,881,189,128,1656,0,Group A
183,472,409,721,694,445,942,885,292,122,50,311,125,114,461,580,893,823,439,905,641,297,719,647,777,630,649,365,174,3020,0,Group B
856,288,208,157,18,255,310,755,448,754,189,933,262,555,432,767,73,898,401,176,732,750,630,47,913,326,97,106,608,9730,0,Group B
721,534,452,39,271,304,447,349,603,103,30,519,732,466,69,10,537,559,145,351,700,359,869,822,730,778,349,558,487,4421,0,Group A
569,792,15,356,783,336,145,313,954,476,615,525,195,783,505,752,275,355,904,31,923,569,467,770,216,43,67,550,510,3075,0,Group B
446,409,328,872,79,173,135,643,351,92,305,192,397,703,949,220,538,16,419,679,698,826,591,183,396,868,201,650,802,564,0,Group B
40,153,69,875,869,693,324,775,814,183,632,619,601,888,206,744,884,856,0,567,198,177,634,247,773,440,18,310,244,1196,0,Group A
89,488,187,833,725,385,118,231,552,97,329,489,253,678,208,749,523,653,582,373,399,755,541,917,272,301,911,429,414,2791,0,Group B
59,171,628,847,202,461,337,689,540,43,42,860,73,169,659,567,265,618,464,185,917,845,777,730,605,56,0,690,746,3860,0,Group B
173,384,276,594,229,884,314,713,207,452,670,908,466,430,46,94,878,743,177,265,100,586,441,960,665,292,639,822,132,3245,1,Group A
648,101,457,294,350,632,132,836,298,2,541,108,870,771,885,889,541,288,492,859,402,332,361,830,171,486,892,366,682,1319,0,Group A
854,419,391,503,304,301,928,526,1,125,255,292,924,848,64,901,429,184,633,85,292,304,820,277,303,683,564,358,609,7452,0,Group A
222,240,726,589,194,856,6,34,40,630,692,85,277,512,600,243,69,263,68,80,649,228,79,768,774,257,533,601,59,9479,0,Group A
127,827,610,888,856,544,0,289,554,45,485,561,556,536,358,159,33,253,309,548,49,620,915,643,592,22,111,276,390,1719,0,Group A
74,164,380,446,312,517,861,753,533,239,680,376,837,326,102,781,341,8,720,423,458,423,44,237,350,137,24,58,450,7067,0,Group B
610,474,376,445,77,545,122,916,14,961,689,166,495,701,172,317,954,556,531,895,437,531,747,781,499,406,428,592,418,8452,0,Group B
167,327,605,293,340,770,30,23,958,843,73,486,561,779,0,32,454,839,426,205,591,848,754,318,557,904,775,535,664,7334,1,Group A
793,787,98,454,287,882,315,4,121,579,218,632,391,93,901,46,922,363,7,487,273,171,34,20,134,310,567,102,798,1913,0,Group A
137,612,740,459,825,730,137,568,810,311,65,120,576,898,476,593,404,411,476,918,124,44,523,302,939,31,368,734,528,3091,0,Group B
301,508,70,786,697,877,708,787,950,633,457,695,385,318,922,23,27,447,675,707,170,846,139,295,295,309,76,528,603,3588,0,Group A
502,429,533,469,402,584,926,267,946,80,205,349,881,406,961,574,289,27,760,958,689,395,799,11,260,934,156,554,376,1634,0,Group A
671,257,800,103,730,706,888,376,273,3,713,881,953,455,291,43,930,75,427,734,585,870,187,264,255,740,189,256,741,8739,0,Group A
669,854,194,225,731,210,348,803,825,623,581,244,189,886,510,809,610,860,397,795,60,132,729,540,270,111,455,152,243,3012,0,Group A
539,773,140,805,676,429,583,221,918,680,325,762,827,85,822,293,29,495,514,184,43,286,421,149,958,302,792,249,694,4463,0,Group B
846,668,199,500,917,108,737,523,134,371,66,269,743,529,560,926,230,957,230,505,473,581,768,914,853,632,789,196,636,2573,0,Group A
18,440,498,882,554,253,492,235,473,421,947,72,858,278,918,803,950,802,602,316,563,15,715,660,138,418,17,482,92,1721,0,Group A
773,16,353,156,684,819,133,290,764,133,27,664,952,381,762,344,929,375,276,639,80,274,281,844,721,911,900,211,85,5642,0,Group B
608,946,507,678,101,928,886,692,880,249,402,751,690,91,227,492,871,520,47,427,240,910,934,815,606,696,410,314,824,2140,0,Group B
283,807,155,811,376,850,898,770,927,284,370,194,428,801,961,753,277,327,953,902,153,824,36,845,580,160,948,245,922,3568,0,Group A
150,793,711,439,634,581,476,45,63,347,492,122,898,857,551,601,525,336,235,47,914,583,732,111,638,59,518,938,72,7834,0,Group A
114,15,534,796,390,340,575,112,842,856,256,62,950,280,74,37,476,428,797,860,672,40,765,390,790,554,557,212,870,1724,0,Group A
578,772,569,965,179,633,815,504,523,648,616,688,727,524,8,144,488,627,783,254,114,376,772,549,849,597,701,752,693,9026,0,Group A
229,895,394,519,467,783,155,589,277,922,732,154,92,747,282,212,2,22,768,12,654,765,557,530,579,836,766,36,195,4899,1,Group A
394,119,811,220,532,764,749,56,792,114,400,55,487,123,27,439,152,42,216,573,844,240,215,499,526,382,203,811,224,7879,0,Group B
166,685,871,751,360,414,156,869,107,666,276,736,569,577,948,701,375,262,906,301,806,652,249,23,830,941,413,810,116,6332,0,Group B
851,235,182,885,354,317,13,860,426,367,337,613,30,274,381,846,519,420,138,378,865,540,918,430,213,687,193,141,181,7461,1,Group A
689,487,455,778,625,366,142,847,529,545,673,961,170,867,838,648,688,161,344,837,903,324,260,456,792,615,898,941,718,2595,0,Group A
598,600,418,10,445,233,574,565,846,489,809,755,259,23,336,404,761,783,313,609,734,100,647,961,161,232,954,331,341,1579,0,Group B
292,445,680,54,233,469,343,181,543,811,701,282,392,689,343,118,369,519,899,882,67,606,76,325,486,479,334,14,585,4284,0,Group B
939,194,664,457,905,936,267,973,721,488,793,12,362,830,429,859,44,142,120,828,612,869,91,773,552,637,281,901,677,7645,0,Group B
361,255,87,957,212,154,282,279,445,596,717,443,503,953,101,902,232,865,745,483,382,857,338,146,407,736,232,658,738,2713,0,Group A
50,513,574,205,963,397,3,426,334,468,900,617,208,774,474,145,9,651,95,75,783,265,648,238,525,360,541,242,681,5734,0,Group A
323,416,482,720,507,654,203,729,830,280,168,329,554,395,671,499,366,148,380,82,804,654,910,884,834,314,860,148,530,946,0,Group B
909,648,267,171,505,849,412,436,36,755,875,757,759,761,931,834,782,875,754,572,579,75,867,707,685,552,63,118,9,3276,0,Group B
550,64,408,52,28,955,287,939,576,684,568,200,719,625,511,375,740,883,229,551,384,122,819,358,406,124,579,717,134,6611,0,Group B
162,60,96,889,157,653,279,765,175,604,549,639,374,667,139,270,181,737,9,375,246,385,88,94,663,783,629,237,184,8019,0,Group B
354,818,147,883,106,510,668,941,194,848,690,845,695,220,576,107,39,895,609,625,393,156,762,689,866,162,278,95,311,214,0,Group B
775,284,23,455,339,1,198,758,582,702,283,171,61,630,196,387,388,966,232,161,128,427,293,601,59,470,675,683,740,1959,0,Group A
368,81,771,77,47,899,807,536,138,511,130,483,567,889,261,790,101,577,877,122,833,527,927,664,230,165,501,485,794,6492,0,Group A
959,663,352,915,382,220,247,644,332,323,385,213,242,765,274,802,484,637,811,934,353,56,825,936,650,496,676,739,69,1280,0,Group B
128,543,798,647,265,513,485,618,878,221,770,576,7,590,796,446,939,915,714,500,573,706,426,383,708,344,116,939,966,4633,0,Group B
450,149,573,838,127,658,321,123,337,420,570,533,628,249,517,570,389,164,428,614,899,679,444,578,243,891,753,844,419,2922,0,Group A
224,753,475,825,806,881,368,875,133,529,660,39,831,822,375,776,758,944,553,153,828,820,773,59,806,163,643,307,651,933,0,Group A
58,360,898,931,559,265,610,948,671,231,923,535,53,823,113,794,118,274,50,471,746,617,592,503,612,821,879,227,471,5664,0,Group B
755,205,226,114,931,245,59,456,290,732,406,717,615,842,622,612,952,709,878,22,136,564,708,235,402,520,962,284,96,1773,0,Group A
357,282,517,526,219,700,183,14,222,651,909,299,309,513,433,274,58,698,377,575,760,60,585,96,928,574,161,903,421,7837,0,Group A
616,580,261,311,593,31,219,155,51,673,912,847,351,532,198,767,229,954,34,871,438,532,600,706,286,464,742,907,211,9501,1,Group B
406,650,910,577,479,598,263,617,379,750,773,502,366,753,660,763,628,59,67,83,707,327,622,638,41,135,306,171,88,1175,0,Group A
223,315,689,264,852,714,877,33,932,324,40,241,331,556,201,482,895,453,752,621,873,943,584,609,617,810,58,275,7,3402,0,Group A
358,430,546,679,547,741,457,486,131,930,831,65,707,533,967,571,192,441,338,601,363,347,741,0,259,906,75,306,706,3774,0,Group B
90,541,139,312,693,664,555,683,16,339,365,64,614,865,680,709,899,436,374,341,242,608,407,472,567,401,754,687,480,5723,0,Group A
942,813,687,414,708,907,646,559,652,951,742,455,42,840,388,454,593,461,242,793,192,744,117,934,65,718,429,526,618,4437,0,Group A
365,584,843,76,189,109,934,353,446,907,454,84,923,307,936,197,762,917,821,150,434,500,309,564,762,620,140,405,74,2240,0,Group B
398,844,960,493,318,793,410,514,645,835,175,930,584,73,469,216,432,900,815,477,892,929,319,423,29,35,595,610,736,286,0,Group B
526,251,946,80,895,65,414,498,436,482,318,882,679,29,650,379,121,574,876,55,892,959,349,67,133,204,720,736,548,6429,0,Group B
490,62,370,29,406,891,860,668,64,26,223,837,429,676,234,167,610,536,935,925,939,4,128,301,165,671,497,496,913,9314,0,Group A
583,703,889,177,798,324,907,754,408,667,7,316,526,476,498,726,908,939,541,744,403,725,616,905,121,13,913,25,101,7130,0,Group A
744,136,833,819,614,890,16,453,104,687,432,595,944,13,928,635,616,882,417,596,31,593,502,309,18,478,122,383,855,5309,0,Group B
551,339,425,407,144,292,796,655,594,20,197,946,123,171,112,38,303,456,748,905,385,345,576,798,668,714,862,61,410,7258,0,Group A
694,74,704,773,656,263,1,59,800,351,83,965,619,637,653,588,502,803,866,846,488,960,37,781,332,950,270,568,429,3615,0,Group B
824,457,279,879,457,378,620,447,804,217,78,934,394,129,177,192,741,557,117,816,766,650,666,818,847,512,98,573,557,3424,0,Group A
136,323,767,552,267,270,740,413,859,375,236,190,347,127,741,770,31,51,342,102,132,36,101,222,89,589,6,220,661,7629,0,Group A
202,533,563,529,556,518,484,726,44,390,755,604,8,755,294,459,403,216,91,764,546,57,87,715,236,104,469,892,190,6833,0,Group A
867,410,116,168,893,562,862,54,811,313,633,839,747,804,249,456,949,353,922,449,394,362,864,855,625,724,478,133,393,5944,0,Group B
737,850,799,24,407,506,527,138,412,124,513,41,555,517,413,855,238,500,489,241,19,408,434,412,423,526,462,853,109,646,0,Group B
419,407,21,349,631,924,413,551,653,443,944,38,601,598,736,715,196,742,900,622,92,451,677,747,433,307,356,156,368,2783,0,Group B
709,280,506,364,670,552,536,584,513,194,731,556,198,111,132,795,397,614,17,742,150,806,95,389,231,146,495,20,266,2418,0,Group A
226,68,873,122,266,252,342,958,716,638,573,902,52,932,765,596,531,308,245,776,53,223,535,516,221,776,509,266,294,1783,0,Group B
32,350,636,763,450,788,579,954,38,423,952,932,713,160,722,152,19,257,388,123,457,658,952,99,956,870,806,438,182,1613,0,Group B
881,206,346,189,679,348,506,210,614,783,822,707,486,404,251,878,873,835,142,677,922,506,49,511,854,278,168,674,890,9083,0,Group A
39,588,300,422,680,805,365,420,763,238,807,262,730,674,629,168,198,756,560,344,725,933,138,762,671,589,571,685,533,9363,0,Group A
64,40,132,506,685,555,387,237,602,792,767,737,864,106,708,362,947,305,652,192,63,842,222,79,144,535,402,253,391,2568,1,Group B
606,761,441,51,935,840,448,876,401,801,625,602,834,118,727,213,513,610,880,885,486,429,740,97,652,392,234,357,768,3057,0,Group A
888,72,183,967,776,563,14,636,228,109,792,614,306,483,925,314,927,901,810,494,123,718,736,828,299,399,104,784,102,2065,0,Group A
30,241,275,747,908,834,475,897,845,819,704,932,81,860,795,19,450,809,735,645,575,160,93,555,660,439,587,781,112,851,0,Group B
271,805,645,848,31,407,652,28,771,868,557,189,9,346,477,332,447,714,610,268,439,523,315,525,205,262,294,483,909,6800,0,Group B
513,635,200,563,195,424,213,735,908,562,672,806,270,51,297,745,830,109,843,769,693,881,135,652,765,201,401,780,232,4891,0,Group A
751,254,748,858,17,785,184,718,560,906,550,476,547,342,955,423,668,197,952,844,415,634,270,879,691,468,340,30,253,266,0,Group A
655,352,201,598,320,896,367,571,497,776,858,777,102,473,293,535,883,278,435,492,357,68,38,896,511,155,333,766,906,5683,0,Group A
276,358,731,908,879,710,452,487,383,246,829,581,289,677,863,717,551,517,597,11,953,349,713,584,821,49,428,450,431,8295,1,Group B
568,190,143,827,136,470,124,22,855,58,352,661,225,254,380,691,393,24,281,114,876,887,475,102,191,259,310,233,799,7651,0,Group A
651,869,542,137,394,144,100,381,838,275,453,901,490,868,220,361,302,964,730,729,225,572,346,408,743,611,938,943,365,8577,0,Group B
672,886,320,139,604,908,727,769,655,163,590,408,231,211,618,824,295,103,839,64,793,485,431,469,233,317,107,587,866,9674,0,Group B
345,12,872,413,824,521,391,511,570,960,650,600,359,942,917,780,905,632,727,788,807,486,124,233,448,159,137,679,515,7763,0,Group A
87,70,736,419,200,59,95,827,261,154,249,429,437,845,651,779,465,660,525,465,629,615,169,372,709,412,614,161,937,8522,1,Group B
330,238,308,232,579,709,309,620,142,10,119,733,815,775,568,763,216,550,527,511,254,243,33,594,529,884,247,608,490,1260,0,Group A
923,713,819,585,40,833,865,485,558,502,871,153,534,467,309,69,233,680,423,482,728,128,807,515,361,699,133,834,312,5741,0,Group B
845,452,108,57,338,818,525,390,475,277,734,134,794,631,263,918,317,84,684,286,297,832,577,468,755,24,686,909,891,2391,1,Group B
0,653,235,140,578,905,349,137,414,333,234,481,464,638,902,719,559,172,692,778,286,778,99,45,16,652,256,618,175,2291,0,Group B
272,832,262,175,120,385,87,522,166,943,911,57,116,618,283,22,278,434,323,760,671,524,855,545,26,860,136,5,25,9348,0,Group A
176,456,192,860,846,95,218,494,90,655,796,922,933,941,880,810,815,695,503,883,530,778,200,789,527,116,644,8,743,4849,0,Group B
516,502,144,409,639,846,848,771,643,953,559,35,799,54,637,161,489,894,315,42,237,50,902,878,649,421,463,301,349,8759,0,Group A
397,625,779,603,727,778,850,127,240,218,619,114,764,104,613,688,602,429,164,14,74,875,108,500,599,213,191,500,115,6418,0,Group A
140,357,398,725,438,433,271,51,901,912,683,815,420,168,60,534,164,801,695,239,595,670,435,8,353,467,919,470,479,9198,0,Group B
697,145,697,772,662,653,275,133,24,749,69,393,568,447,326,617,955,41,511,770,667,707,279,431,900,354,309,609,87,9083,0,Group B
281,501,860,639,146,478,194,925,375,15,361,280,201,309,157,576,793,112,949,570,719,361,533,701,34,840,114,927,963,6926,0,Group A
841,820,180,606,80,860,497,834,542,762,579,534,336,723,463,137,762,378,370,496,857,671,900,70,262,152,128,399,302,6709,0,Group A
388,263,74,358,835,571,353,925,93,602,254,61,843,400,536,527,495,40,706,270,483,258,82,606,838,919,453,842,382,4142,0,Group A
605,370,909,119,114,330,872,642,429,298,853,136,597,178,136,316,426,798,848,645,184,580,953,122,696,800,808,217,293,1939,0,Group B
156,666,478,919,76,241,269,679,15,98,697,411,202,750,860,778,946,271,57,228,390,181,363,459,203,57,240,64,265,2647,0,Group B
448,874,950,685,241,410,264,81,952,6,599,949,412,675,211,767,940,97,438,831,850,476,730,308,788,528,793,199,53,4818,0,Group A
120,799,17,387,443,267,134,672,346,337,791,536,100,55,176,472,477,226,425,493,817,837,488,716,155,643,638,565,361,9722,0,Group B
100,355,264,393,751,678,656,144,579,434,104,657,790,647,676,352,280,260,440,390,926,819,689,548,60,0,25,456,796,8815,0,Group A
218,785,786,465,272,940,94,441,284,807,566,671,98,439,300,683,682,975,584,538,157,203,495,563,459,914,9,770,784,7021,0,Group B
182,383,319,689,311,193,173,914,947,640,302,260,256,385,335,615,567,920,432,668,941,655,951,225,95,336,60,143,760,4870,0,Group B
147,176,254,954,173,758,297,653,309,945,227,10,176,27,742,822,67,912,611,395,151,594,503,794,789,474,707,812,608,7171,0,Group B
435,29,166,245,22,147,258,766,146,155,144,647,379,517,589,493,188,537,340,46,264,571,246,585,349,732,668,411,826,8865,0,Group A
351,551,922,578,912,164,766,293,455,816,316,80,443,116,438,591,204,571,558,453,340,735,513,328,366,233,651,680,397,9366,0,Group B
262,409,403,127,334,636,867,908,648,470,957,673,665,726,556,21,325,497,352,386,172,657,750,85,512,398,513,491,958,2662,0,Group A
673,346,301,163,686,589,520,223,789,918,868,646,88,862,213,384,588,64,856,852,378,889,433,603,733,524,290,807,73,1630,0,Group B
454,639,351,204,545,920,15,849,782,850,543,544,65,472,912,452,672,963,261,674,534,825,795,833,62,729,869,959,119,9731,1,Group B
71,223,404,56,380,380,126,599,636,179,507,233,209,827,746,139,865,700,594,247,134,897,552,467,44,779,322,471,124,6743,0,Group A
445,486,795,420,618,328,408,569,712,224,508,704,639,354,682,739,509,350,252,129,62,482,188,626,528,785,465,933,691,5683,0,Group B
838,744,792,383,115,874,794,706,355,748,839,113,341,621,519,528,438,648,413,132,83,927,275,283,401,689,549,759,348,6506,0,Group A
805,898,72,384,499,420,607,800,218,257,75,810,626,781,793,917,211,293,964,152,852,344,660,276,692,138,106,280,611,3982,0,Group A
859,170,656,907,933,229,940,386,504,266,282,364,937,299,143,380,266,647,85,432,71,467,8,136,682,446,851,582,455,4598,0,Group B
870,109,142,740,803,699,791,817,929,901,185,251,882,540,427,342,291,2,567,617,930,185,266,126,739,889,381,375,370,3670,0,Group A
633,780,707,333,651,224,366,307,82,917,146,955,192,457,921,315,168,687,293,267,596,529,337,690,902,143,112,291,136,8206,0,Group B
356,797,416,877,791,599,532,135,213,326,923,433,581,46,66,510,399,351,534,830,360,229,186,587,27,48,802,246,895,6569,0,Group A
422,436,831,692,301,68,420,822,726,825,879,558,447,820,763,947,712,210,132,812,259,112,601,526,5,945,36,925,658,7237,1,Group A
961,694,916,195,216,695,879,730,230,473,813,740,183,191,222,604,743,17,903,2,98,34,751,752,164,959,626,493,690,755,1,Group B
759,17,925,237,113,728,631,582,389,925,390,291,726,894,732,281,251,240,686,141,660,318,749,210,280,295,647,487,511,9579,1,Group A
780,332,314,382,470,675,195,478,435,382,834,487,959,183,910,644,217,136,773,517,887,316,74,610,17,926,724,19,70,3294,1,Group B
233,465,468,406,355,189,83,233,205,791,600,351,575,553,233,214,351,343,693,381,673,686,748,18,10,130,389,361,462,5034,0,Group A
473,207,103,167,841,178,634,635,625,431,35,596,136,291,557,81,706,364,184,389,901,722,53,663,768,862,952,897,133,2405,1,Group B
735,620,667,264,4,49,511,923,589,165,902,521,798,414,521,786,62,195,357,722,529,249,181,651,8,777,548,47,623,479,0,Group B
537,920,915,652,563,869,455,168,708,242,580,880,914,475,701,502,659,313,834,371,258,488,764,611,614,28,390,469,737,2612,0,Group B
500,2,141,738,682,131,471,157,295,145,553,384,31,67,690,289,36,152,248,350,433,867,578,341,90,599,941,457,769,7146,0,Group A
560,265,884,66,87,536,473,416,402,852,490,111,472,90,719,309,575,825,715,497,551,836,628,306,861,386,870,644,14,4192,0,Group A
905,477,211,631,471,44,781,95,35,219,212,417,460,410,808,851,284,468,962,814,73,909,146,345,15,706,895,490,667,2634,0,Group B
88,957,167,403,175,248,230,687,477,56,753,460,624,780,369,385,255,891,539,216,578,827,345,427,753,385,891,90,935,3135,0,Group B
734,672,511,91,819,893,170,301,214,486,604,202,370,362,844,478,12,564,594,908,250,721,928,479,751,221,918,562,78,8771,0,Group A
764,389,684,572,58,662,689,60,449,222,322,636,677,245,166,341,331,130,217,571,296,254,821,796,858,238,21,179,71,669,0,Group B
860,775,918,314,398,879,22,110,849,620,797,437,800,38,247,489,587,657,151,444,86,464,570,242,814,566,255,544,620,6878,1,Group B
666,616,473,371,60,622,945,848,486,227,520,766,939,947,124,80,589,791,292,231,129,121,967,4,901,139,492,75,767,4118,0,Group A
552,398,305,823,873,511,323,469,419,606,289,92,467,355,775,211,641,686,755,942,718,788,218,139,482,268,605,378,580,4557,0,Group A
750,324,207,613,801,547,768,874,628,101,25,90,793,909,418,15,419,302,106,157,733,212,401,894,19,795,624,655,641,1985,0,Group B
320,414,765,728,426,27,372,136,456,153,96,605,378,212,398,165,553,167,275,445,377,730,654,473,98,931,578,187,309,8337,0,Group A
