0,1,2,3,4,5,6,7,8,9,sensitive_feature,true_label,prediction
1.23,11.24,39.28,68.39,13.87,11.24,23.18,75.76,14.74,74.07,group_a,1,1
7.74,21.36,30.31,90.02,49.63,72.02,10.02,50.89,84.31,52.28,group_a,1,1
57.03,63.22,81.7,27.73,65.19,89.08,90.88,18.65,65.17,61.71,group_b,1,1
52.89,58.57,84.33,89.86,88.22,36.47,94.88,42.41,30.62,9.45,group_a,1,1
54.87,75.05,74.73,86.5,28.59,96.56,56.67,74.74,75.49,92.92,group_a,1,1
32.87,98.32,95.92,91.83,78.99,87.51,0.04,62.7,24.76,73.04,group_b,1,1
68.2,9.16,61.78,84.19,83.46,51.5,63.1,36.92,52.8,10.79,group_a,1,1
63.95,42.9,72.43,6.62,69.79,37.49,60.8,17.01,34.46,26.7,group_a,1,1
20.99,38.54,19.51,39.56,56.27,64.58,25.47,35.61,17.83,81.47,group_b,1,1
45.86,87.79,3.18,28.24,96.18,66.43,12.84,34.84,87.97,44.08,group_a,0,1
38.1,23.07,16.6,91.38,57.79,69.01,55.31,38.35,73.16,57.64,group_a,1,1
63.94,2.5,27.5,22.32,73.65,67.67,89.22,8.69,42.19,2.98,group_b,1,1
3.86,69.62,14.39,46.25,67.16,79.3,45.32,49.83,1.92,43.24,group_a,1,1
40.85,54.2,86.2,17.67,22.52,2.91,11.67,0.88,15.67,51.37,group_a,1,1
27.19,48.8,8.19,33.87,7.23,1.1,28.39,11.77,31.1,74.35,group_b,0,1
88.83,40.0,58.86,85.98,22.85,51.57,58.37,94.72,3.22,6.89,group_a,1,1
35.18,43.02,45.37,34.35,51.24,39.24,4.09,41.85,2.37,10.25,group_a,1,1
54.82,13.19,71.15,30.23,93.83,19.27,76.2,16.56,96.61,87.36,group_b,0,1
6.69,41.32,11.05,75.21,51.13,4.97,4.48,73.59,15.43,73.37,group_a,1,1
49.75,26.62,63.74,24.25,47.32,97.03,8.52,31.74,67.64,8.52,group_a,1,1
24.35,50.22,16.19,82.12,23.14,55.23,92.64,39.74,96.79,73.15,group_b,1,1
97.84,5.45,72.57,48.39,94.17,40.69,91.92,15.91,99.48,41.3,group_a,1,1
61.71,89.01,45.65,71.14,93.7,52.06,73.38,72.8,85.82,3.68,group_a,1,1
91.36,13.75,55.61,48.3,95.9,38.04,44.65,57.74,38.21,91.19,group_b,1,1
9.03,95.06,15.0,73.94,84.12,74.71,30.19,35.16,72.19,96.56,group_a,1,1
96.59,55.98,47.37,52.33,76.77,98.86,42.06,23.09,37.47,6.77,group_a,1,1
4.26,58.97,1.93,51.41,97.66,29.02,97.42,63.6,88.4,1.97,group_b,1,1
58.08,20.57,64.2,94.65,4.12,44.94,35.34,28.79,87.69,96.67,group_a,1,1
22.42,93.26,94.57,2.28,84.69,71.44,67.99,1.06,82.83,37.83,group_a,1,1
30.78,57.8,26.56,80.79,46.72,33.25,89.68,79.24,85.96,66.58,group_b,1,1
49.45,55.67,80.97,32.06,32.1,69.32,48.62,35.93,40.55,32.98,group_a,1,1
92.8,17.3,97.06,23.81,46.48,89.78,35.58,50.81,16.15,96.12,group_a,1,1
44.51,29.41,90.94,48.43,8.7,75.0,7.54,20.25,7.39,62.82,group_b,1,1
47.62,63.02,40.4,92.0,1.69,98.76,70.41,80.4,80.31,20.14,group_a,1,1
41.47,28.77,84.47,44.38,52.87,55.13,33.89,63.95,90.0,7.2,group_a,1,1
7.08,43.46,24.62,44.57,25.61,86.15,56.04,74.43,92.65,49.49,group_b,1,1
7.48,76.6,97.21,41.53,94.49,42.95,62.16,91.95,20.38,3.97,group_a,1,1
74.17,94.08,74.74,90.81,11.1,57.98,43.19,26.55,86.04,32.94,group_a,1,1
68.42,9.58,16.69,60.51,32.8,91.46,78.81,86.47,41.45,82.88,group_b,1,1
90.98,29.41,45.94,13.64,99.51,15.46,67.39,59.8,71.46,41.05,group_a,1,1
32.38,62.0,0.85,98.29,82.22,99.9,26.34,19.95,5.47,19.38,group_a,0,1
7.34,59.44,98.94,34.4,54.4,37.43,73.96,68.55,59.87,97.61,group_b,1,1
27.98,50.21,56.41,46.1,58.67,48.72,51.79,20.22,11.04,25.51,group_a,1,1
85.97,51.53,11.36,12.06,30.91,87.54,93.36,35.14,44.17,45.67,group_a,1,1
45.08,43.66,4.16,76.76,67.35,67.09,47.27,67.27,88.25,69.2,group_b,1,1
37.06,95.02,20.0,29.7,41.81,23.73,30.14,84.08,48.97,8.32,group_a,1,1
79.91,32.59,24.05,82.26,11.51,47.62,55.79,61.13,14.55,63.07,group_a,1,1
81.45,9.6,92.44,73.04,25.73,42.75,3.41,14.73,65.14,77.22,group_b,1,1
14.53,34.95,16.29,24.59,69.24,15.5,35.09,20.05,97.44,49.11,group_a,1,1
27.15,54.19,70.81,95.86,36.91,53.28,37.47,55.01,84.15,99.28,group_a,1,1
50.59,45.33,55.8,38.42,83.45,15.94,45.03,76.29,60.61,90.59,group_b,1,1
14.47,48.99,50.51,96.88,81.2,79.02,68.0,15.66,91.31,43.35,group_a,1,1
49.62,85.68,8.87,37.84,4.92,64.98,18.92,30.9,81.86,5.46,group_a,1,1
73.15,91.41,3.73,0.44,99.35,31.85,19.66,49.87,55.14,73.93,group_b,1,1
19.96,61.51,10.71,90.52,19.21,46.12,77.12,90.79,58.22,68.12,group_a,1,1
79.15,3.1,83.77,31.75,1.2,6.97,50.22,63.16,82.14,81.71,group_a,0,1
14.6,18.92,83.91,54.05,28.09,33.54,54.33,32.78,70.99,12.24,group_b,1,1
39.75,18.95,90.24,62.55,52.67,69.67,85.25,68.6,13.55,99.17,group_a,0,1
8.11,60.68,99.77,14.06,85.23,14.96,41.6,89.59,29.97,68.13,group_a,0,1
20.37,9.27,65.95,58.61,63.44,35.48,45.13,88.84,81.79,26.47,group_b,1,1
8.35,17.24,68.38,16.14,94.92,84.43,74.24,46.54,82.7,24.37,group_a,1,1
42.1,56.49,55.81,58.89,80.08,96.69,67.26,80.88,57.03,47.15,group_a,1,1
91.23,49.43,56.58,35.33,11.36,35.54,17.28,12.19,16.11,3.3,group_b,1,1
54.68,12.41,28.01,43.07,1.69,49.82,95.2,42.86,83.4,96.0,group_a,0,1
76.02,51.38,99.71,53.92,93.56,12.83,49.4,13.95,1.29,8.48,group_a,1,1
37.06,90.76,39.6,20.61,81.78,75.88,69.83,2.18,40.72,31.45,group_b,1,1
19.45,80.61,37.21,84.2,79.63,57.43,55.79,4.16,88.82,81.51,group_a,1,1
35.64,83.12,35.24,5.87,47.33,72.82,67.85,6.47,49.7,19.59,group_a,0,1
40.4,20.01,17.88,24.84,75.99,25.12,38.31,68.43,53.86,93.84,group_b,1,1
14.57,45.49,77.08,70.55,73.2,43.35,80.0,53.29,8.02,45.59,group_a,0,1
58.12,19.48,96.53,92.4,46.71,66.35,21.45,22.17,28.85,69.24,group_a,1,1
14.82,61.6,16.97,71.25,60.78,38.43,61.75,56.63,4.32,53.01,group_b,1,1
97.91,45.63,71.88,73.49,21.49,7.8,60.27,12.19,38.22,88.97,group_a,1,1
96.0,87.19,73.19,22.76,33.06,71.38,80.67,1.67,16.67,89.54,group_a,0,1
87.81,34.91,79.07,95.16,31.22,76.83,33.47,16.38,34.83,75.12,group_b,0,1
71.07,90.11,1.68,94.21,82.1,5.67,80.63,80.45,18.77,97.13,group_a,1,1
24.65,58.13,97.23,65.78,48.25,30.9,13.78,99.87,75.43,25.01,group_a,1,1
13.05,81.56,88.04,38.51,27.66,19.59,8.09,21.48,20.2,85.38,group_b,1,1
27.96,45.93,54.72,10.15,50.22,95.64,56.27,51.89,78.99,45.1,group_a,1,1
93.43,38.8,82.16,24.78,48.21,27.36,54.2,7.5,41.67,31.61,group_a,0,1
82.72,21.28,94.25,49.39,39.76,61.72,16.96,19.36,42.16,22.97,group_b,1,1
48.12,66.61,61.98,69.94,90.23,75.18,16.26,22.09,45.48,39.01,group_a,1,1
3.06,86.76,72.21,1.79,54.99,23.87,88.18,85.35,30.17,59.85,group_a,1,1
24.09,9.79,66.59,24.35,62.43,15.35,98.08,67.47,29.42,6.36,group_b,1,1
89.59,19.69,11.34,11.22,75.43,85.8,99.14,67.85,64.0,68.73,group_a,1,1
82.14,59.98,72.21,0.87,64.63,73.76,48.07,48.38,24.59,40.78,group_a,1,1
24.01,16.44,39.98,15.87,40.67,11.73,52.72,56.63,34.88,81.06,group_b,0,1
71.1,18.25,9.9,36.23,76.81,30.38,88.58,60.78,50.78,60.82,group_a,1,1
92.63,17.98,78.41,53.86,97.82,55.32,43.27,7.93,42.81,96.39,group_a,1,1
51.49,18.86,95.29,63.53,58.97,94.04,9.12,79.29,22.31,25.12,group_b,1,1
8.73,58.38,39.78,91.47,61.45,52.25,93.82,28.57,84.86,42.21,group_a,1,1
51.0,59.7,30.23,93.0,72.97,76.1,45.81,83.55,73.39,59.26,group_a,0,1
5.24,8.72,40.72,10.77,90.12,3.82,53.62,33.22,85.21,15.97,group_b,1,1
96.08,54.83,17.71,96.55,41.62,78.75,3.16,16.55,96.8,81.55,group_a,0,1
90.01,22.25,80.8,30.09,73.72,35.11,60.75,61.5,0.43,70.88,group_a,1,1
57.26,57.81,45.63,64.51,47.18,47.28,15.7,13.29,62.63,8.83,group_b,1,1
4.46,62.39,56.41,9.81,2.98,94.01,40.81,29.92,66.8,93.42,group_a,1,1
94.0,23.66,51.15,13.4,2.88,15.42,63.8,25.16,66.82,71.31,group_a,1,1
58.61,78.2,27.18,88.44,88.84,95.51,63.09,32.94,82.0,11.19,group_b,1,1
51.98,27.33,74.08,79.77,64.72,2.19,24.0,33.84,97.64,65.83,group_a,1,1
31.54,76.99,8.76,28.68,39.05,89.57,34.81,59.38,10.03,17.19,group_a,1,1
41.24,40.77,89.78,89.81,30.71,84.86,95.82,83.59,2.49,98.02,group_b,1,1
49.38,48.24,76.9,80.83,33.87,54.5,62.09,70.94,95.02,74.41,group_a,1,1
48.41,19.88,98.39,91.1,74.61,83.57,2.69,76.3,11.04,38.8,group_a,1,1
66.95,62.55,58.28,48.79,82.09,12.07,28.29,59.33,15.25,63.63,group_b,1,1
57.57,52.81,43.32,76.43,42.27,13.99,63.75,4.67,99.51,70.52,group_a,0,1
7.24,41.01,99.03,23.09,34.88,82.06,89.98,51.51,96.18,83.94,group_a,1,1
19.34,45.01,69.82,20.82,86.25,24.78,14.63,44.3,34.1,71.77,group_b,1,1
0.15,69.5,53.88,89.12,94.03,65.68,74.88,54.72,52.58,88.89,group_a,1,1
77.16,9.5,26.69,53.17,5.31,72.24,1.51,18.95,70.67,83.85,group_a,1,1
51.73,3.02,78.41,17.74,69.78,0.16,26.89,56.12,68.53,89.97,group_b,1,1
58.26,68.02,48.71,48.6,34.53,83.37,26.19,9.8,17.17,55.75,group_a,1,1
90.64,85.14,4.58,22.61,24.45,73.31,49.49,57.2,76.2,58.65,group_a,1,1
44.83,45.44,94.48,72.2,80.99,8.88,40.96,58.76,46.56,13.42,group_b,1,1
87.05,80.61,91.17,0.17,2.45,32.08,79.41,68.66,92.38,90.12,group_a,1,1
13.33,62.33,77.26,6.52,56.37,89.83,34.7,3.95,97.47,41.37,group_a,1,1
60.52,14.88,94.48,43.95,44.85,62.62,73.67,80.26,84.74,31.19,group_b,1,1
40.35,63.6,97.03,3.89,67.91,97.8,28.41,10.6,49.8,7.75,group_a,1,1
7.11,25.17,13.87,5.5,80.32,57.8,40.01,6.12,80.55,18.8,group_a,0,1
82.38,89.52,18.79,30.39,47.83,16.29,9.18,74.41,33.3,74.04,group_b,1,1
70.66,84.6,95.08,63.28,20.46,97.33,91.8,57.4,46.14,57.24,group_a,1,1
97.77,39.15,14.62,97.16,79.84,62.47,90.34,62.62,2.59,75.98,group_a,1,1
99.34,7.57,26.0,85.15,89.57,56.62,59.75,83.95,97.56,88.62,group_b,1,1
20.31,92.22,37.55,83.09,44.37,0.53,45.16,78.71,42.62,65.12,group_a,1,1
58.09,53.94,89.36,98.3,77.52,41.64,53.52,81.02,57.92,27.51,group_a,1,1
48.78,88.89,24.75,35.77,22.31,15.75,91.8,13.59,56.11,37.62,group_b,1,1
61.16,22.48,1.64,34.94,23.14,81.62,9.05,22.42,10.57,11.02,group_a,1,1
68.43,99.55,93.44,10.24,41.85,77.1,32.95,63.29,64.05,6.44,group_a,0,1
39.45,67.25,24.43,84.11,62.33,2.03,71.52,37.92,3.49,67.04,group_b,1,1
12.25,34.32,17.44,58.78,71.11,52.33,53.89,81.94,74.13,46.92,group_a,1,1
51.82,55.03,22.96,89.95,63.69,47.99,75.45,70.1,88.51,48.75,group_a,0,1
5.37,90.29,20.46,20.25,49.95,61.1,99.16,29.49,45.96,18.33,group_b,1,1
54.14,45.71,58.43,49.27,89.72,28.48,35.24,36.33,13.75,17.73,group_a,0,1
9.53,30.1,94.37,46.3,60.5,12.09,41.49,0.4,86.37,18.89,group_a,1,1
1.68,96.18,89.16,7.42,23.4,17.58,89.32,67.31,31.54,48.4,group_b,1,1
17.87,60.32,42.8,32.69,3.51,74.36,94.19,28.99,80.09,93.52,group_a,1,1
22.88,8.79,42.46,96.68,76.87,72.23,81.27,51.91,92.66,61.29,group_a,1,1
74.56,51.7,37.96,22.16,19.0,86.34,51.25,75.7,60.93,89.31,group_b,1,1
25.55,62.47,55.53,12.29,79.01,34.48,75.14,26.93,56.6,82.84,group_a,1,1
78.74,90.99,58.66,31.46,24.22,26.54,12.16,79.63,1.5,90.71,group_a,1,1
78.16,56.18,98.27,11.8,58.99,91.58,92.35,17.37,99.58,32.15,group_b,1,1
35.25,21.4,84.84,74.07,92.56,46.12,44.33,95.36,57.26,69.93,group_a,0,1
32.41,66.86,77.79,71.91,50.84,36.61,86.29,40.64,71.2,34.88,group_a,0,1
80.41,44.22,2.43,35.96,22.52,24.19,89.6,34.32,65.53,37.44,group_b,1,1
44.4,5.18,57.34,80.09,50.29,99.06,59.48,7.43,51.24,48.52,group_a,1,1
2.97,76.74,22.36,11.11,89.51,63.6,62.73,57.11,9.95,97.45,group_a,1,1
96.78,49.85,58.26,70.96,80.85,4.33,82.94,83.98,59.4,81.7,group_b,1,1
94.86,95.64,89.28,64.48,75.51,33.62,72.99,98.56,18.51,94.63,group_a,1,1
90.15,19.82,82.47,5.86,51.67,44.39,4.8,80.95,97.32,22.02,group_a,1,1
14.42,67.44,61.85,12.2,50.62,24.67,3.68,11.99,65.09,13.46,group_b,0,1
58.09,10.53,33.48,33.92,19.2,31.09,33.22,44.96,74.78,24.69,group_a,1,1
45.21,23.35,92.14,34.86,28.41,78.46,26.7,62.84,46.31,93.42,group_a,0,1
10.79,74.74,0.13,30.19,21.96,81.74,51.94,9.21,64.55,89.47,group_b,0,1
27.59,24.05,93.17,70.01,33.33,81.0,90.25,94.2,61.86,92.71,group_a,1,1
90.02,80.48,15.17,29.88,59.25,47.61,40.15,0.15,58.15,91.2,group_a,1,1
34.23,41.46,54.78,44.91,10.85,68.23,97.0,19.73,33.85,12.41,group_b,1,1
35.12,47.54,59.37,58.21,2.43,58.04,24.58,73.51,99.04,75.63,group_a,1,1
78.97,84.24,22.14,91.48,24.14,69.03,39.18,90.28,29.94,98.22,group_a,0,1
48.34,74.41,14.3,54.98,95.97,73.46,52.84,68.21,57.24,19.98,group_b,1,1
7.46,75.18,89.33,20.81,47.27,95.43,15.45,88.07,79.31,98.97,group_a,0,1
75.92,78.71,87.14,51.33,14.5,40.31,63.95,47.92,61.56,90.02,group_a,1,1
37.33,29.94,46.68,94.35,33.41,42.62,68.17,37.15,77.13,96.54,group_b,1,1
56.18,88.62,76.34,97.16,55.82,52.6,22.63,31.19,92.4,54.62,group_a,1,1
81.49,6.72,15.25,38.67,25.17,82.67,73.82,90.21,54.53,99.17,group_a,1,1
59.55,4.21,19.93,67.42,86.14,39.75,64.15,71.17,61.78,71.95,group_b,1,1
64.94,71.11,71.3,79.45,20.91,42.35,64.81,80.0,82.17,71.05,group_a,1,1
53.99,13.25,2.11,18.76,11.73,58.15,45.6,93.61,95.53,85.09,group_a,1,1
5.3,71.15,10.09,74.41,47.83,5.3,29.09,43.18,90.7,82.56,group_b,0,1
34.42,39.32,27.68,71.28,1.17,69.44,35.0,23.87,57.34,76.96,group_a,1,1
